"","memory CD4+ T cells","memory CD8+ T cells","naive CD4+ T cells","naive CD8+ T cells","NKT","MAIT","Tregs","NK","Plasma cells","pre-B cells","cDC","pDC","Monocytes","Basophils","Neutrophils"
"DNAJA3_ITGB7_XCL1",0,0.14,0,0.09,1.23,0.17,0.16,0.33,0,0,0,0,0,0,0
"GATA3_OTUD4_XCL1",0.04,0.13,0.03,0,1.23,0.17,0.32,0.36,0,0,0,0,0.02,0,0
"FASLG_HIF1A_ZBTB1",0.04,0.43,0,0,1.23,0.25,0.32,0.48,0,0,0,0,0.04,0,0
"KLRC1_SOX4_TCF7",0,0.14,0,0.09,1.23,0.08,0,0.45,0,0,0,0,0,0,0
"PIK3CA_XBP1_XCL1",0.04,0.16,0,0,1.23,0.25,0,0.37,0,0,0,0,0.02,0,0
"RORA_TGFBR2_XCL1",0.11,0.43,0.03,0.09,1.23,0.42,0.16,0.54,0,0,0,0,0,0,0
"KLRC1_NF1_PPP3CB",0,0.22,0,0,1.23,0.08,0,0.32,0,0,0.58,0,0.02,0,0
"BAX_PIK3CG_XCL1",0.04,0.21,0,0,1.23,0.17,0.16,0.33,0,0,0,0.36,0.04,0,0
"BAX_MAP2K1_XCL1",0.04,0.24,0,0.09,1.23,0.59,0.16,0.44,0,0,0,0.36,0.06,0,0
"FLOT2_IFNG_PSEN1",0.11,0.43,0.03,0,1.23,0.08,0.32,0.4,0,0,0,0.36,0.1,0,0
"DLL1_SIRT2",0.04,0.08,0.03,0.38,1.1,0,0,0.25,0,0,0,0,0.14,0,0
"ERBB2_TOX_ZBTB1",0.04,0.13,0,0,1.1,0,0,0.56,0,0,0,0,0,0,0
"PIK3CG_XBP1_XCL1",0.11,0.24,0,0,1.1,0.25,0.16,0.56,0,0,0,0,0.06,0,0
"CDC42_DLL1_SIRT2",0.04,0.08,0.03,0.38,1.1,0,0,0.25,0,0,0,0,0.14,0,0
"IL7R_NCR3_RASGRP1",4.18,7.73,1.66,5,6.99,26.67,4.83,1.9,0.83,0.43,0,0.73,0.06,0,0
"RORC_XBP1",3.17,0.56,0.14,0,0.68,11.04,1.45,0.07,0,0,0.58,0.36,0,0,0.04
"CXCR4_PDE4D_TNFAIP3",5.22,2.73,1.02,1.42,2.88,9.36,2.25,1.33,1.25,0.65,1.16,1.82,0.48,0,0.04
"RORC_TMBIM6_XBP1",2.95,0.51,0.11,0,0.68,9.36,1.29,0.05,0,0,0.58,0.36,0,0,0
"HLA-E_IL23R",0.93,0.27,0.14,0,0.41,9.28,0.16,0.05,0,0,0,0,0,0,0.07
"HLA-E_IL23R_RPL30",0.93,0.27,0.14,0,0.41,9.28,0.16,0.05,0,0,0,0,0,0,0.07
"HLA-A_HLA-E_IL23R",0.93,0.27,0.14,0,0.41,9.28,0.16,0.05,0,0,0,0,0,0,0.07
"B2M_HLA-E_IL23R",0.93,0.27,0.14,0,0.41,9.28,0.16,0.05,0,0,0,0,0,0,0.07
"ANXA1_IL23R",0.93,0.27,0.11,0,0.41,9.11,0,0.05,0,0,0,0,0,0,0.04
"ANXA1_HLA-E_IL23R",0.93,0.27,0.11,0,0.41,9.11,0,0.05,0,0,0,0,0,0,0.04
"DDX17_EOMES_MYC",1.27,3.38,0.39,0.66,2.47,9.03,2.58,0.36,1.25,0.22,0,0,0.14,0.29,0.11
"HMGB1_IL23R",0.89,0.27,0.11,0,0.41,8.95,0.16,0.05,0,0,0,0,0,0,0
"HLA-A_HMGB1_IL23R",0.89,0.27,0.11,0,0.41,8.95,0.16,0.05,0,0,0,0,0,0,0
"HLA-E_HMGB1_IL23R",0.89,0.27,0.11,0,0.41,8.86,0.16,0.05,0,0,0,0,0,0,0
"ANXA1_HMGB1_IL23R",0.89,0.27,0.11,0,0.41,8.7,0,0.05,0,0,0,0,0,0,0
"CD3E_HMGB1_IL23R",0.86,0.27,0.11,0,0.41,8.53,0.16,0.01,0,0,0,0,0,0,0
"FYN_SMAD3_ZBTB16",1.34,0.97,0.25,0,2.88,7.61,0.48,2.2,0,0.26,1.73,0.36,0.68,0,0.04
"ATM_SMAD3_ZBTB16",1.04,1.02,0.22,0,3.01,7.53,0.81,2.5,0,0.65,2.31,0.36,0.58,0,0.07
"HMGB1_IL23R_RIPOR2",0.75,0.27,0.08,0,0.41,7.36,0.16,0.04,0,0,0,0,0,0,0
"RORC_TNFAIP3_XBP1",1.98,0.38,0.06,0,0.41,7.19,0.81,0.01,0,0,0.58,0.36,0,0,0
"FOS_IL23R",0.63,0.19,0.03,0,0.27,7.11,0,0.03,0,0,0,0,0,0,0.07
"HLA-E_IL23R_XRCC5",0.78,0.24,0.11,0,0.41,7.02,0.16,0.03,0,0,0,0,0,0,0.04
"FOS_HLA-E_IL23R",0.63,0.19,0.03,0,0.27,7.02,0,0.03,0,0,0,0,0,0,0.07
"ANXA1_FOS_IL23R",0.63,0.19,0.03,0,0.27,6.94,0,0.03,0,0,0,0,0,0,0.04
"B4GALT1_CXCR4_PDE4D",2.5,2.13,0.89,0.94,2.05,6.77,1.13,1.43,0.83,1.98,2.31,2.19,0.76,0.29,0.15
"FOS_HMGB1_IL23R",0.6,0.19,0.03,0,0.27,6.69,0,0.03,0,0,0,0,0,0,0
"CCL5_RUNX2_ZBTB16",0.37,0.37,0.06,0.19,0.82,6.69,0.16,0.29,0.42,0.04,2.89,0.73,0.1,0,0.04
"CD40LG_CEBPB_CEBPD",1.86,0.98,0.19,0.09,0.68,6.44,0.97,0.05,1.25,0,0.58,2.55,0.6,0.29,0.41
"RORC_XBP1_YY1",1.72,0.44,0.11,0,0.27,6.27,0.97,0.01,0,0,0.58,0.36,0,0,0.04
"BAX_RORC_XBP1",1.34,0.37,0.06,0,0.55,6.19,1.29,0.03,0,0,0.58,0.36,0,0,0
"JUN_RORC_XBP1",1.38,0.3,0,0,0.41,6.1,0.48,0.04,0,0,0,0.36,0,0,0
"PLCG1_ZBTB16_ZFP36L2",0.63,0.54,0.17,0.19,0.82,6.02,0.32,0.76,0,0.09,0,0,0.1,0,0
"DDX17_FOS_IL23R",0.48,0.17,0.03,0,0.27,5.52,0,0.01,0,0,0,0,0,0,0.07
"FOS_MYC_PTGDR",0.82,1,0.06,0.09,0.96,5.52,0,0.39,0,0.13,0.58,0.36,0.06,0,0.04
"FOS_IL23R_TGFB1",0.48,0.14,0,0,0.27,5.35,0,0.01,0,0,0,0,0,0,0
"APOBEC3G_CCL5_IL23A",2.57,1.79,0.33,0.19,0.27,5.27,1.93,0.16,0.83,0.34,0.58,0.36,0.16,0,0
"HLA-E_IL23R_VSIR",0.67,0.14,0.08,0,0.27,5.18,0.16,0.01,0,0,0,0,0,0,0
"CD40LG_TNFAIP3_TNFSF14",2.01,1.03,0.03,0,0.68,4.93,1.77,0.08,0,0,0.58,0,0.08,0.29,0.07
"NCK2_RORC_XBP1",1.64,0.29,0.08,0,0.27,4.77,0.97,0,0,0,0,0,0,0,0
"IL23R_PTPN2",0.37,0.1,0.08,0,0.27,4.68,0.16,0.03,0,0,0,0,0,0,0.04
"HMGB1_IL23R_XRCC6",0.63,0.14,0.08,0,0.27,4.68,0,0.03,0,0,0,0,0,0,0
"ANXA1_IL23R_XRCC6",0.63,0.14,0.08,0,0.27,4.68,0,0.03,0,0,0,0,0,0,0.04
"RORC_SIPA1_XBP1",0.82,0.48,0.03,0,0.41,4.68,0.64,0.05,0,0,0,0.36,0,0,0.04
"HLA-E_IL23R_PTPN2",0.37,0.1,0.08,0,0.27,4.6,0.16,0.03,0,0,0,0,0,0,0.04
"BCL11B_HMGB1_IL23R",0.37,0.16,0.11,0,0,4.6,0.16,0,0,0,0,0,0,0,0
"CCR5_CXCR4_MYC",0.67,0.63,0.06,0,0.27,4.6,1.45,0.01,0.42,0,0,1.82,0.16,0,0
"LAMP1_RORC_XBP1",1.23,0.32,0.03,0,0.27,4.6,0.81,0.04,0,0,0.58,0,0,0,0
"ANXA1_IL23R_PTPN2",0.37,0.1,0.08,0,0.27,4.52,0,0.03,0,0,0,0,0,0,0.04
"IL23R_SPN",0.52,0.19,0.11,0,0.27,4.43,0,0.04,0,0,0,0,0,0,0
"HMGB1_IL23R_PTPN2",0.37,0.1,0.08,0,0.27,4.43,0.16,0.03,0,0,0,0,0,0,0
"HLA-E_IL23R_SPN",0.52,0.19,0.11,0,0.27,4.43,0,0.04,0,0,0,0,0,0,0
"HMGB1_IL23R_SPN",0.48,0.19,0.08,0,0.27,4.35,0,0.04,0,0,0,0,0,0,0
"ANXA1_IL23R_SPN",0.52,0.19,0.08,0,0.27,4.26,0,0.04,0,0,0,0,0,0,0
"EOMES_MYC_REST",0.82,1.68,0.11,0.38,1.37,4.26,1.13,0.23,0.42,0.13,0,0,0.12,0.29,0.04
"HMGB1_IL23R_RTN4",0.41,0.14,0.08,0,0.27,4.18,0,0.01,0,0,0,0,0,0,0
"FOXP1_HMGB1_IL23R",0.67,0.17,0.11,0,0.14,4.01,0.16,0.03,0,0,0,0,0,0,0
"HMGB1_IL23R_MBP",0.48,0.22,0.08,0,0.41,4.01,0,0.03,0,0,0,0,0,0,0
"IL23R_RAC2_SPN",0.48,0.19,0.06,0,0.27,3.93,0,0.04,0,0,0,0,0,0,0
"RORC_TGFBR2",1.3,0.27,0.03,0,0.41,3.85,1.13,0,0,0.09,0.58,0,0.02,0,0
"IL7R_RORC_TGFBR2",1.23,0.24,0.03,0,0.41,3.85,0.81,0,0,0,0.58,0,0,0,0
"IL23R_TNFRSF14",0.41,0.17,0.08,0,0.14,3.68,0,0.03,0,0,0,0,0,0,0.04
"FOS_IL23R_PTPN2",0.19,0.05,0.03,0,0.27,3.68,0,0.01,0,0,0,0,0,0,0.04
"HLA-E_IL23R_TNFRSF14",0.41,0.17,0.08,0,0.14,3.68,0,0.03,0,0,0,0,0,0,0.04
"ANXA1_IL23R_TNFRSF14",0.41,0.17,0.08,0,0.14,3.68,0,0.03,0,0,0,0,0,0,0.04
"IL23R_JAK1_PTPN2",0.34,0.08,0.06,0,0.27,3.6,0.16,0.03,0,0,0,0,0,0,0.04
"CD46_IL23R",0.52,0.11,0,0,0.27,3.51,0,0,0,0,0,0,0,0,0.07
"HMGB1_HSPD1_IL23R",0.48,0.11,0.08,0,0.27,3.51,0.16,0.03,0,0,0,0,0,0,0
"CD46_HMGB1_IL23R",0.52,0.11,0,0,0.27,3.51,0,0,0,0,0,0,0,0,0
"CD46_HLA-E_IL23R",0.52,0.11,0,0,0.27,3.51,0,0,0,0,0,0,0,0,0.07
"CCL4_CCL5_IL23A",0.3,1.81,0.08,0,0.41,3.51,0.32,0.13,0,0.04,0.58,0.36,0.02,0,0.04
"NCKAP1L_RORC_XBP1",1.19,0.33,0.03,0,0.41,3.51,0.64,0.03,0,0,0.58,0.36,0,0,0.04
"CD46_IL23R_PTPRC",0.52,0.11,0,0,0.27,3.43,0,0,0,0,0,0,0,0,0.07
"HMGB1_IL23R_TNFRSF14",0.37,0.17,0.08,0,0.14,3.43,0,0.03,0,0,0,0,0,0,0
"CD81_RORC_TGFBR2",0.78,0.25,0.03,0,0.41,3.43,0.81,0,0,0.09,0.58,0,0.02,0,0
"ANXA1_CD46_IL23R",0.52,0.11,0,0,0.27,3.43,0,0,0,0,0,0,0,0,0.04
"FOS_IL23R_SPN",0.37,0.13,0,0,0.14,3.34,0,0.03,0,0,0,0,0,0,0
"CEBPB_HMGB1_IL23R",0.34,0.14,0.08,0,0.14,3.34,0,0.01,0,0,0,0,0,0,0
"CCL20_CCL5",0.82,0.13,0,0,0,3.26,0.48,0,0,0,0,0,0,0,0
"HLA-E_IL23R_SELENOS",0.34,0.13,0.03,0,0.27,3.18,0,0.04,0,0,0,0,0,0,0
"HLA-E_IL23R_KIF5B",0.52,0.14,0.08,0,0.27,3.18,0.16,0.03,0,0,0,0,0,0,0
"EXOSC6_HLA-E_IL23R",0.22,0.13,0.08,0,0,3.09,0,0.01,0,0,0,0,0,0,0.04
"AKIRIN1_ANXA1_IL23R",0.26,0.14,0.06,0,0.27,3.09,0,0.01,0,0,0,0,0,0,0.04
"S1PR1_SMAD3_ZBTB16",0.34,0.38,0.11,0,0.96,3.09,0.32,0.58,0,0.04,0.58,0,0.04,0,0.04
"PTPN1_RORC_XBP1",1.34,0.22,0.03,0,0.55,3.09,0.48,0.01,0,0,0,0.36,0,0,0
"ANXA1_IL23R_REST",0.26,0.16,0.06,0,0.27,3.01,0,0,0,0,0,0,0,0,0
"CD46_IL23R_MSN",0.48,0.08,0,0,0.14,2.93,0,0,0,0,0,0,0,0,0.07
"CD46_FOS_IL23R",0.34,0.08,0,0,0.14,2.93,0,0,0,0,0,0,0,0,0.07
"FOS_IL23R_MYC",0.22,0.08,0,0,0,2.93,0,0,0,0,0,0,0,0,0.07
"ARRB2_HLA-E_IL23R",0.3,0.13,0.06,0,0.14,2.84,0,0,0,0,0,0,0,0,0.04
"ANXA1_ARRB2_IL23R",0.3,0.13,0.06,0,0.14,2.76,0,0,0,0,0,0,0,0,0
"FOS_IL23R_TNFRSF14",0.34,0.11,0.03,0,0,2.68,0,0.01,0,0,0,0,0,0,0.04
"ARRB2_HMGB1_IL23R",0.3,0.13,0.06,0,0.14,2.59,0,0,0,0,0,0,0,0,0
"ANXA1_CTNNB1_IL23R",0.3,0.03,0.03,0,0.27,2.51,0,0,0,0,0,0,0,0,0
"IL23A_NCR3_RASGRP1",0.56,0.37,0.17,0.47,0.14,2.51,0.48,0.09,0,0.39,0,0,0,0,0
"CCL20_CCL5_PCBP2",0.63,0.11,0,0,0,2.51,0.48,0,0,0,0,0,0,0,0
"ANXA1_IL23R_RBPJ",0.26,0.1,0.03,0,0.14,2.51,0,0.01,0,0,0,0,0,0,0.04
"RORC_RUNX2_XBP1",0.75,0.05,0,0,0.27,2.51,0,0.01,0,0,0.58,0.36,0,0,0
"RORA_RORC_TGFBR2",1.16,0.27,0.03,0,0.41,2.51,0.97,0,0,0,0.58,0,0,0,0
"HMGB1_IL23R_RBPJ",0.22,0.1,0.03,0,0.14,2.42,0.16,0.01,0,0,0,0,0,0,0
"ANXA1_IL23R_PIK3CD",0.15,0.03,0,0,0.14,2.42,0,0.01,0,0,0,0,0,0,0.04
"BCL2_RUNX2_ZBTB16",0.34,0.13,0.06,0.28,0,2.42,0.16,0.07,0.42,0,0.58,0.73,0.04,0,0
"G6PD_RORC_XBP1",0.48,0.14,0,0,0.14,2.42,0.16,0.01,0,0,0,0.36,0,0,0
"HMGB1_IL23R_TMIGD2",0.07,0.08,0.11,0,0.41,2.34,0,0.04,0,0,0,0,0,0,0
"RORC_TGFBR2_XBP1",0.67,0.24,0.03,0,0.41,2.34,0.32,0,0,0,0,0,0,0,0
"DPP4_SMAD7_TGFB1",0.93,0.38,0.08,0.09,0.41,2.34,0.16,0,0,0,0,0,0.08,0,0
"EZR_IL23R_PTPN2",0.26,0.08,0,0,0.14,2.26,0.16,0.03,0,0,0,0,0,0,0.04
"HMGB1_IL23R_PPP3CA",0.3,0.13,0,0,0.14,2.26,0,0.03,0,0,0,0,0,0,0
"HLA-E_IL23R_SERPINB9",0.34,0.1,0.06,0,0,2.26,0,0,0,0,0,0,0,0,0.07
"CCL20_CCL5_SKAP1",0.52,0.08,0,0,0,2.26,0.32,0,0,0,0,0,0,0,0
"RORC_TGFBR2_YY1",0.78,0.22,0.03,0,0.27,2.26,0.97,0,0,0.04,0.58,0,0.02,0,0
"RORC_TP53",0.75,0.16,0,0,0.27,2.17,0.48,0.04,0,0.04,0,0.73,0,0,0
"FTH1_RORC_TP53",0.75,0.16,0,0,0.27,2.17,0.48,0.03,0,0.04,0,0.73,0,0,0
"RARG_RORC",0.6,0,0,0,0,2.09,0,0,0,0.04,0,0,0,0,0.04
"CXCR4_FASLG_MYC",0.71,0.95,0.03,0,0.55,2.09,0.32,0.19,0,0.04,0,0,0,0,0
"PLCL2_RORC_XBP1",0.63,0.08,0.03,0,0.41,2.09,0.32,0.03,0,0,0,0,0,0,0
"BAX_RORC_TGFBR2",0.48,0.16,0.03,0,0.27,2.09,0.81,0,0,0.04,0.58,0,0.02,0,0
"IL23R_PTPN2_TNFRSF14",0.22,0.06,0.06,0,0,2.01,0,0,0,0,0,0,0,0,0.04
"IL23R_NCK2_PTPN2",0.19,0.06,0.06,0,0.14,2.01,0,0.01,0,0,0,0,0,0,0
"IL23R_SPN_TNFRSF14",0.19,0.13,0.06,0,0.14,2.01,0,0.03,0,0,0,0,0,0,0
"IL23R_RHOG_SPN",0.22,0.1,0.06,0,0.14,2.01,0,0.01,0,0,0,0,0,0,0
"DNAJB9_HLA-E_IL23R",0.26,0.08,0.03,0,0,2.01,0,0,0,0,0,0,0,0,0
"APOBEC3G_CCL20_CCL5",0.34,0.08,0,0,0,2.01,0.16,0,0,0,0,0,0,0,0
"CD46_IL23R_VSIR",0.45,0.08,0,0,0.14,2.01,0,0,0,0,0,0,0,0,0
"IL23R_TYROBP",0,0.06,0,0,0.41,1.92,0,0.04,0,0,0,0,0,0,0.04
"HMGB1_IL23R_RNF168",0.15,0.11,0,0,0.27,1.92,0,0.03,0,0,0,0,0,0,0
"HLA-E_IL23R_TYROBP",0,0.06,0,0,0.41,1.92,0,0.04,0,0,0,0,0,0,0.04
"ANXA1_IL23R_SIRT2",0.22,0.11,0,0,0.14,1.92,0,0,0,0,0,0,0,0,0
"CYBA_IL23R_TYROBP",0,0.06,0,0,0.41,1.92,0,0.04,0,0,0,0,0,0,0.04
"ANXA1_IL23R_TYROBP",0,0.06,0,0,0.41,1.92,0,0.04,0,0,0,0,0,0,0.04
"ANXA1_CCR2_IL23R",0.19,0.08,0.03,0,0,1.92,0,0,0,0,0,0,0,0,0
"CTNNB1_FOS_IL23R",0.11,0.03,0,0,0.14,1.92,0,0,0,0,0,0,0,0,0
"IL23R_PTPN2_SPN",0.19,0.08,0.06,0,0.14,1.84,0,0.01,0,0,0,0,0,0,0
"CD46_IL23R_PTPN2",0.26,0.05,0,0,0.14,1.84,0,0,0,0,0,0,0,0,0.04
"IL23R_NCK1_PTPN2",0.11,0.05,0,0,0,1.84,0.16,0,0,0,0,0,0,0,0
"HMGB1_IL23R_TYROBP",0,0.06,0,0,0.41,1.84,0,0.04,0,0,0,0,0,0,0
"IL23R_PTPRC_TYROBP",0,0.06,0,0,0.41,1.84,0,0.04,0,0,0,0,0,0,0.04
"BRD1_FOS_IL23R",0.15,0.1,0,0,0.14,1.84,0,0.01,0,0,0,0,0,0,0
"IL23R_RIPOR2_TYROBP",0,0.06,0,0,0.41,1.84,0,0.03,0,0,0,0,0,0,0.04
"CCL5_IL23A_RUNX2",0.67,0.24,0.14,0.38,0.27,1.84,0.48,0,0.83,0,0.58,0.36,0,0,0
"RORC_TGFBR2_USP15",0.6,0.16,0.03,0,0.14,1.84,0.81,0,0,0.04,0,0,0.02,0,0
"ANXA1_BATF_IL23R",0.15,0.06,0,0,0,1.76,0,0,0,0,0,0,0,0,0
"CCL5_MYC_TNF",0.48,0.24,0.11,0.09,0,1.76,0.48,0.03,0,0.13,0,0,0.3,0,0
"CST7_MYC_TNF",0.22,0.22,0.08,0,0,1.76,0.48,0.03,0,0,0,0,0.04,0,0
"HSF1_IL23R",0.15,0.05,0.06,0,0,1.67,0,0.01,0,0,0,0,0,0,0
"HLA-E_HSF1_IL23R",0.15,0.05,0.06,0,0,1.67,0,0.01,0,0,0,0,0,0,0
"HSF1_IL23R_RPS3",0.15,0.05,0.06,0,0,1.67,0,0.01,0,0,0,0,0,0,0
"HSF1_IL23R_RPL13A",0.15,0.05,0.06,0,0,1.67,0,0.01,0,0,0,0,0,0,0
"IL23R_SIN3A",0.22,0.03,0,0,0,1.59,0,0.01,0,0,0,0,0,0,0
"FASLG_FOS_MYC",0.45,0.63,0,0,0.68,1.59,0.16,0.17,0,0.04,0,0,0,0,0
"HMGB1_IL23R_SIN3A",0.22,0.03,0,0,0,1.59,0,0.01,0,0,0,0,0,0,0
"HLA-E_IL23R_SIN3A",0.22,0.03,0,0,0,1.59,0,0.01,0,0,0,0,0,0,0
"ANXA1_IL23R_ZC3H8",0.11,0.05,0.03,0,0.14,1.59,0,0,0,0,0,0,0,0,0
"ANXA1_HSF1_IL23R",0.15,0.05,0.06,0,0,1.59,0,0.01,0,0,0,0,0,0,0
"CD44_RARG_RORC",0.52,0,0,0,0,1.59,0,0,0,0.04,0,0,0,0,0.04
"ANXA1_IL23R_SIN3A",0.22,0.03,0,0,0,1.59,0,0.01,0,0,0,0,0,0,0
"FOS_IL23R_PTGDR",0.04,0.02,0,0,0.27,1.59,0,0.01,0,0,0,0,0,0,0
"HSP90AB1_IL23R_TYROBP",0,0.06,0,0,0.41,1.59,0,0.04,0,0,0,0,0,0,0
"MYC_RORC_TGFBR2",0.6,0.14,0.03,0,0,1.59,0.32,0,0,0.04,0,0,0,0,0
"RORC_TP53_XBP1",0.56,0.11,0,0,0.27,1.59,0,0.03,0,0,0,0.36,0,0,0
"ID2_RORC_TP53",0.45,0.16,0,0,0.27,1.59,0,0.03,0,0,0,0.36,0,0,0
"HLA-E_IL23R_NCSTN",0.19,0.03,0,0,0.27,1.51,0,0,0,0,0,0,0,0,0
"FASLG_MYC_REST",0.3,0.68,0.03,0.09,0.41,1.51,0.48,0.2,0,0.09,0,0,0,0,0
"ANXA1_IL23R_ITPKB",0.3,0.06,0,0,0,1.51,0,0.01,0,0,0,0,0,0,0
"FOS_IL23R_TYROBP",0,0.05,0,0,0.27,1.51,0,0.01,0,0,0,0,0,0,0.04
"CCL5_DMTN_RUNX2",0.41,0.24,0.11,0,0.14,1.51,0.32,0.04,0,0.04,0.58,0,0.04,0,0
"PIK3CA_RORC_XBP1",0.3,0.19,0.03,0,0.27,1.51,0.16,0,0,0,0,0,0,0,0
"IL23R_PTPN2_YTHDF2",0.15,0.06,0.03,0,0.14,1.42,0,0,0,0,0,0,0,0,0
"CD46_IL23R_SPN",0.34,0.11,0,0,0.27,1.42,0,0,0,0,0,0,0,0,0
"HMGB1_HSF1_IL23R",0.15,0.05,0.06,0,0,1.42,0,0.01,0,0,0,0,0,0,0
"RARG_RORC_XBP1",0.41,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0.04
"ANXA1_BAD_IL23R",0.11,0.05,0,0,0,1.42,0,0,0,0,0,0,0,0,0
"MAPK1_RORC_TGFBR2",0.37,0.14,0.03,0,0,1.42,0.81,0,0,0.04,0,0,0.02,0,0
"IL23R_SOCS1",0.11,0.03,0,0,0.14,1.34,0,0.03,0,0,0,0,0,0,0
"HMGB1_IL23R_SOCS1",0.11,0.03,0,0,0.14,1.34,0,0.03,0,0,0,0,0,0,0
"HLA-E_IL23R_SOCS1",0.11,0.03,0,0,0.14,1.34,0,0.03,0,0,0,0,0,0,0
"ANXA1_IL23R_SOCS1",0.11,0.03,0,0,0.14,1.34,0,0.03,0,0,0,0,0,0,0
"HCLS1_HSF1_IL23R",0.07,0.03,0.06,0,0,1.34,0,0,0,0,0,0,0,0,0
"FOS_IL23R_SIN3A",0.19,0.03,0,0,0,1.34,0,0.01,0,0,0,0,0,0,0
"CCL20_CCL4_CCL5",0.04,0.06,0,0,0,1.34,0,0,0,0,0,0,0,0,0
"CXCR4_MYC_TNF",0.56,0.19,0.3,0.09,0,1.34,0.48,0.01,0,0.34,0,0,0.36,0,0
"MYC_TNF_WDR1",0.26,0.11,0.11,0.09,0,1.34,0.32,0.01,0.42,0.3,0,0,0.68,0,0
"HMGB1_HSPA1A_IL23R",0.22,0.05,0.03,0,0.14,1.25,0,0.01,0,0,0,0,0,0,0
"FOS_HSF1_IL23R",0.07,0.02,0,0,0,1.25,0,0,0,0,0,0,0,0,0
"IL23R_TYROBP_WASF2",0,0.06,0,0,0.27,1.25,0,0.03,0,0,0,0,0,0,0.04
"CD46_IL23R_TNFRSF14",0.19,0.08,0,0,0.14,1.25,0,0,0,0,0,0,0,0,0.04
"HMGB1_IL23R_SLC15A4",0.07,0.03,0.03,0,0,1.17,0,0.01,0,0,0,0,0,0,0
"ADAM17_HMGB1_IL23R",0.22,0.05,0.03,0,0,1.17,0,0,0,0,0,0,0,0,0
"HSF1_IL23R_MSN",0.07,0.03,0.06,0,0,1.17,0,0.01,0,0,0,0,0,0,0
"BAD_FOS_IL23R",0.07,0.05,0,0,0,1.17,0,0,0,0,0,0,0,0,0
"G3BP2_RORC_TP53",0.45,0.1,0,0,0.27,1.17,0.16,0.03,0,0,0,0,0,0,0
"GFI1_NR1D1",0.37,0.46,0.08,0.09,0.27,1.09,0.16,0.37,0,0,0,0,0.04,0,0
"IL23R_PTPN2_TYROBP",0,0.05,0,0,0.27,1.09,0,0.03,0,0,0,0,0,0,0.04
"HIF1A_HMGB1_IL23R",0.22,0.1,0,0,0,1.09,0,0,0,0,0,0,0,0,0
"HSF1_IL23R_XRCC5",0.15,0.05,0.06,0,0,1.09,0,0,0,0,0,0,0,0,0
"DHX36_HSF1_IL23R",0.07,0.02,0.03,0,0,1.09,0,0.01,0,0,0,0,0,0,0
"ANXA1_ARL8B_IL23R",0.07,0.06,0.03,0,0,1.09,0,0,0,0,0,0,0,0,0
"ANXA1_IL23R_P2RX4",0.11,0.06,0.03,0,0,1.09,0,0,0,0,0,0,0,0,0
"CCL5_CRKL_IL23A",0.41,0.32,0.17,0.09,0.14,1.09,0.16,0.01,0.42,0.09,0,0.36,0.1,0,0
"IL23R_SIN3A_SPN",0.11,0.02,0,0,0,1,0,0.01,0,0,0,0,0,0,0
"FBXW7_FOS_IL23R",0.26,0.08,0.03,0,0.14,1,0,0,0,0,0,0,0,0,0
"HMGB1_IL23R_SNX4",0.19,0.1,0,0,0.14,1,0,0,0,0,0,0,0,0,0
"IL23R_SIN3A_TNFRSF14",0.11,0.02,0,0,0,1,0,0,0,0,0,0,0,0,0
"CCL20_CCL5_ITGB1",0.26,0.08,0,0,0,1,0.32,0,0,0,0,0,0,0,0
"FOS_IL23R_SOCS1",0.07,0.02,0,0,0,1,0,0.01,0,0,0,0,0,0,0
"CITED2_RORC_TP53",0.37,0.11,0,0,0.27,1,0.32,0.01,0,0.04,0,0.36,0,0,0
"CD28_CD74_HLA-DRB1",5.26,5.37,0.97,0.76,2.19,6.44,28.34,0.21,2.5,0.09,3.47,2.92,0.85,0.57,0.22
"PRDX1_RTKN2",5.44,1.67,2.66,1.13,0.41,2.84,23.67,0.13,1.25,0.22,1.73,0,0.26,0,0.07
"CD28_CD74_ZAP70",9.51,4.57,4.62,3.97,2.19,10.2,23.35,0.2,0.42,0,1.16,0.73,0.28,0.29,0.07
"PRDX1_RTKN2_SOD1",4.96,1.33,2.33,0.94,0.27,2.59,21.42,0.09,1.25,0.04,1.73,0,0.18,0,0
"CD28_CD74_OTUB1",9.13,3.63,3.54,2.55,1.37,7.94,20.93,0.16,1.25,0.09,2.31,2.55,0.6,0.29,0.15
"CD28_CD74_TRIM38",8.31,3.57,3.99,3.59,1.37,6.94,20.77,0.16,0.83,0.09,1.73,2.55,0.72,0,0.07
"GATA3_ISG15_STAT1",10.1,5.52,2.69,3.68,7.12,5.69,19.81,3.36,3.33,0.13,1.16,2.19,0.87,0,0.48
"CD84_RASGRP1_STAT5B",8.24,7.65,4.07,2.64,4.11,4.1,19,1.31,1.25,0.73,1.73,2.92,0.56,0,0.22
"CD28_CD74_MALT1",6.9,2.3,3.71,2.46,0.96,4.01,16.59,0.07,0.83,0.04,2.89,1.46,0.32,0,0.15
"ACIN1_CD28_CD74",5.33,2.51,2.49,2.93,1.37,4.01,16.59,0.09,0.83,0,1.73,2.19,0.46,0,0.15
"AQP3_LEF1_LFNG",5.07,1.08,5.76,5.95,0.27,0.92,14.33,0.04,1.25,0.04,0,1.09,0.14,0,0.04
